date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020/8/10,13:25:19,22.902803,120.2731313,-0.073,7,24,-621,8,17,-1138,-0.169075012,-0.055351257,0.073103905,0.024120465,-1.766056895,0.023352668,37,170
2020/8/10,13:25:22,22.9028037,120.27313,4.673,108,-41,63,16,54,-1032,-0.09842968,-0.185422897,-4.673018932,0.01012239,-1.97011137,-0.056721985,37,170
2020/8/10,13:25:25,22.9028021,120.2731335,11.9,-5,-41,26,-61,22,-971,-0.277451515,0.165246964,-11.9002142,-0.012168784,-1.828210235,-0.022305865,37,170
2020/8/10,13:25:28,22.9028013,120.2731203,14.977,3,-28,-12,-53,29,-955,-0.358025551,-1.184013367,-14.97775078,-0.118493542,-1.737627268,-0.035934649,37,170
2020/8/10,13:25:31,22.902794,120.2730571,15.216,49,24,44,-86,45,-1057,-1.177732468,-7.664709091,-15.21644592,-0.089583971,-1.73344326,-0.075311281,37,170
2020/8/10,13:25:34,22.9027826,120.2729688,15.342,180,12,41,-67,-23,-1005,-2.447228432,-16.7162075,-15.3427248,-0.056673903,-1.737972617,-0.05261147,37,170
2020/8/10,13:25:37,22.9027718,120.2728847,15.244,-12,-105,-33,-43,99,-1032,-3.644454002,-25.34385872,-15.24492359,-0.077798098,-1.729369044,-0.061838381,37,170
2020/8/10,13:25:40,22.9027592,120.2728197,14.911,-17,-237,-1096,-136,69,-959,-5.052300453,-32.00449371,-14.91113281,-0.154877678,-2.778783798,-0.173127502,37,170
2020/8/10,13:25:43,22.9027037,120.2728238,15.382,-16,214,166,-117,29,-992,-10.57861233,-31.75245094,-15.3853054,-0.155684769,2.971587181,0.054913357,37,170
2020/8/10,13:25:46,22.9026315,120.2728355,15.305,-8,-199,-116,-108,-69,-957,-19.26436615,-30.38897896,-15.3051424,0.011012327,3.036816835,-0.000623635,37,170
2020/8/10,13:25:49,22.9026239,120.2728234,14.852,-29,-29,1163,-72,192,-1025,-20.32801437,-31.2596302,-14.86918736,-0.105088264,-2.323463678,0.046311021,37,170
2020/8/10,13:25:52,22.9026562,120.2727674,15.231,264,69,37,62,143,-911,-16.51704788,-37.37042236,-15.23125839,-0.044468563,-1.221046925,-0.077952817,37,170
2020/8/10,13:25:55,22.9026905,120.2726992,15.203,-21,-23,-52,-47,102,-940,-12.6949873,-44.36479187,-15.20315266,-0.004931239,-1.106924176,-0.173178911,37,170
2020/8/10,13:25:58,22.9027264,120.2726292,15.125,-253,80,-55,20,192,-921,-8.69563961,-51.5429306,-15.12585258,0.147849545,-1.160236716,-0.213900521,37,170
2020/8/10,13:26:01,22.9027192,120.2726206,15.29,-192,95,-1076,-125,147,-949,-9.504212379,-52.42339325,-15.29015827,-0.143915728,-2.282685757,-0.266242862,37,170
2020/8/10,13:26:05,22.9026532,120.2726305,15.175,110,-84,-109,-141,24,-1004,-16.84312057,-51.41508484,-15.17518902,-0.193685576,3.106599092,0.019599169,37,170
2020/8/10,13:26:08,22.9025812,120.2726408,15.245,-89,-48,-79,-204,-20,-1020,-24.86769485,-50.3552475,-15.24523067,-0.185276389,3.015055895,0.003701779,37,170
2020/8/10,13:26:11,22.9025002,120.2726542,15.099,54,-46,84,-143,40,-1008,-33.87996674,-48.9811554,-15.09910774,-0.095035598,2.962664843,-0.014338456,37,170
2020/8/10,13:26:14,22.9024252,120.2726699,15.022,-105,-39,-38,-88,-22,-1011,-42.22753143,-47.36564636,-15.02280617,-0.123990476,3.019123077,-0.007885281,37,170
2020/8/10,13:26:17,22.9023475,120.2726828,15.05,126,99,3,-101,-31,-977,-50.8753624,-46.04824066,-15.05017376,0.031378929,2.979204893,-0.002320568,37,170
2020/8/10,13:26:20,22.9023267,120.2726913,15.086,-29,89,-1162,2,-26,-1021,-53.19841003,-45.1735611,-15.08628082,0.003480835,2.603543282,-0.106148615,37,170
2020/8/10,13:26:23,22.9023664,120.2727374,14.864,-33,11,196,27,8,-1043,-48.77386475,-40.44853973,-14.86468124,0.054149795,0.665116668,-0.038589425,37,170
2020/8/10,13:26:26,22.9024221,120.2727875,15.073,-20,-1,-42,-24,16,-1013,-43.05312347,-35.77749634,-15.07690048,0.022833522,0.744034469,0.015695926,37,170
2020/8/10,13:26:29,22.9024765,120.2728419,15.083,64,14,139,86,46,-966,-36.5161705,-29.73597908,-15.08385372,0.015254025,0.779625297,0.006146075,37,170
2020/8/10,13:26:32,22.9025318,120.2728967,15.053,54,31,499,84,22,-988,-30.36269379,-24.10992241,-15.05395794,0.07813786,1.009016633,0.131369919,37,170
2020/8/10,13:26:35,22.9025252,120.2729638,15.084,33,-77,72,-2,-74,-1005,-30.80862045,-17.82055855,-15.07008553,-0.038503841,1.882980585,0.08248423,37,170
2020/8/10,13:26:38,22.9024951,120.2730347,15.077,-132,-84,51,-29,-69,-1002,-34.44382858,-9.966070175,-15.0776844,-0.074872583,1.94972837,0.117559038,37,170
2020/8/10,13:26:41,22.9024616,120.2731113,15.046,-135,83,45,-25,-117,-978,-38.18064117,-2.107128143,-15.04635429,-0.071066722,1.9661659,0.168233067,37,170
2020/8/10,13:26:44,22.9024337,120.2731699,15.077,114,-68,44,-34,-189,-950,-41.2891922,3.910177231,-15.07970047,0.080365874,1.861733794,0.049476855,37,170
2020/8/10,13:26:47,22.9024626,120.2731728,15.115,39,45,-279,73,150,-1009,-38.06271362,4.19426918,-15.11581516,-0.033803914,-0.292087317,-0.08360859,37,170
2020/8/10,13:26:50,22.9025303,120.2731578,14.84,-255,165,-102,134,125,-909,-30.52466202,2.664003372,-14.84084225,0.032241039,-0.127914488,-0.05465275,37,170
2020/8/10,13:26:53,22.9026024,120.2731465,14.984,212,-135,4,-25,48,-1081,-22.50225067,1.505651474,-14.98421097,0.030470181,-0.139479905,-0.065852471,37,170
2020/8/10,13:26:56,22.9026804,120.273136,15.047,141,-115,-1,-114,70,-999,-13.82256985,0.426021576,-15.04799366,-0.058620512,-0.107078277,-0.088842034,37,170
2020/8/10,13:26:59,22.9027523,120.2731233,14.44,298,-44,-528,20,-30,-1018,-5.820393562,-0.872053146,-14.44017315,-0.027837574,0.006261834,0.007780243,37,170
